2018-06-03,1156,ORD,139
2018-01-29,2361,BWI,163
2018-07-29,2390,LAS,169
2018-02-13,2552,PSP,184
2018-07-24,2631,CAE,135
2018-10-23,2716,LGA,186
2018-06-19,2567,MIA,156
2018-03-23,43,DTW,156
2018-06-26,1497,BOS,204
2018-01-26,1426,CLE,152
2018-02-25,1582,CLE,149
2018-07-08,2636,AUS,54
2018-03-09,606,CLT,148
2018-02-05,2560,DEN,131
2018-08-10,148,ANC,397
2018-02-12,1580,PDX,239
2018-05-30,808,MEM,81
2018-05-13,1053,ATL,119
2018-09-30,368,SEA,256
2018-04-30,1022,CMH,135
2018-08-29,368,SEA,253
2018-08-16,2686,GRR,155
2018-08-10,2517,MCO,144
2018-01-15,2215,DEN,162
2018-10-03,1138,SNA,170
2018-03-14,2329,DCA,172
2018-03-29,1464,TUL,65
2018-06-24,2403,ATL,130
2018-07-22,2420,ABQ,111
2018-05-21,2297,MKE,122
2018-05-25,2268,CVG,125
2018-08-28,2009,SEA,254
2018-01-30,2299,BNA,99
2018-02-10,2467,ORD,130
2018-06-19,2357,SLC,160
2018-07-09,2735,SJC,197
2018-06-08,1085,LAX,188
2018-02-25,2535,ORD,127
2018-07-06,123,HNL,468
2018-10-27,2594,AUS,56
2018-09-01,2259,PHX,146
2018-07-06,2610,CVG,136
2018-06-21,2761,STL,114
2018-04-28,1134,ORD,153
2018-04-09,2353,IAH,85
2018-06-09,2708,LGA,197
2018-08-01,2752,DCA,197
2018-06-03,1641,MCO,150
2018-10-25,598,ATL,119
2018-05-02,1207,RDU,162
2018-05-12,1288,SAN,174
2018-06-02,2237,DCA,164
2018-10-05,519,DEN,107
2018-10-15,2310,RNO,212
2018-07-29,2758,SAN,169
2018-03-17,2332,ORD,130
2018-03-22,1159,SAN,198
2018-07-29,1525,ELP,98
2018-08-11,1133,RIC,211
2018-04-29,1763,SAN,188
2018-02-13,2371,STL,104
2018-06-16,698,GEG,223
2018-08-10,1243,SAN,176
2018-01-25,2624,IAH,58
2018-05-10,1396,BNA,104
2018-03-24,1643,PHL,170
2018-06-08,2635,DEN,157
2018-04-14,2232,DSM,93
2018-07-18,2754,ORD,143
2018-01-21,1229,EWR,193
2018-09-08,2596,JAC,177
2018-02-03,2583,DTW,138
2018-07-10,1523,DEN,127
2018-06-10,2754,ORD,0
2018-10-31,2538,PIT,184
2018-07-30,2810,COS,142
2018-06-28,1009,BNA,149
2018-07-06,2489,MCO,163
2018-10-19,2207,CMH,130
2018-09-09,84,LAX,190
2018-07-30,1097,TUS,126
2018-08-05,1405,LAX,199
2018-01-05,2659,TUS,145
2018-03-29,2528,FLL,168
2018-10-08,1771,LAS,168
2018-04-10,2250,LAX,208
2018-08-19,2250,OKC,50
2018-04-03,2497,ATL,145
2018-06-07,2236,CMH,158
2018-05-02,2610,ABQ,151
2018-07-22,649,TUS,120
2018-01-13,1278,SNA,196
2018-01-23,2259,BNA,99
2018-08-26,878,CLT,142
2018-07-25,2412,ORD,136
2018-05-22,1896,DEN,114
2018-01-03,616,ATL,136
2018-06-03,1772,CLT,149
2018-03-16,2674,OMA,103
2018-09-19,1105,LGA,193
2018-05-01,493,CLT,149
2018-01-08,1560,SNA,211
2018-08-09,311,SAT,61
2018-07-24,2695,DCA,193
2018-01-03,551,PHX,163
2018-08-11,2747,BOS,236
2018-02-01,2497,ATL,130
2018-07-12,2231,JFK,237
2018-02-09,2728,IND,120
2018-03-03,2423,MSP,134
2018-05-06,2429,SAT,64
2018-07-29,2351,DCA,195
2018-07-24,1305,JAX,139
2018-05-03,351,IAH,132
2018-03-03,2318,JAX,127
2018-08-18,1351,TPA,139
2018-10-20,1584,AUS,75
2018-01-03,802,LAS,176
2018-01-31,2535,ORD,147
2018-02-25,2709,MTJ,136
2018-05-24,2769,DCA,166
2018-07-05,21,DEN,122
2018-10-26,2409,RDU,140
2018-09-17,2655,DEN,129
2018-08-15,2784,IAD,169
2018-10-29,2206,MIA,159
2018-05-20,2457,TPA,161
2018-01-13,2195,BOI,201
2018-04-17,2745,SJC,223
2018-02-18,2423,MSP,126
2018-03-29,2371,STL,108
2018-05-28,2276,IND,122
2018-03-01,2328,BOS,181
2018-07-08,1566,OKC,60
2018-02-25,2293,DCA,143
2018-02-01,1139,SNA,180
2018-06-22,2373,SAV,158
2018-06-09,804,DCA,256
2018-04-10,1691,PHL,180
2018-04-13,2001,CLT,164
2018-03-25,2501,BNA,97
2018-09-07,1492,CMH,146
2018-08-28,2519,PHX,152
2018-05-21,2490,BDL,197
2018-06-17,2331,CLE,160
2018-07-25,2640,PBI,157
2018-07-13,2497,MEM,82
2018-03-09,2356,DEN,122
2018-10-20,2214,STL,96
2018-01-06,2430,CMH,143
2018-03-04,2747,MSY,81
2018-06-26,1234,MKE,160
2018-09-14,2206,MIA,160
2018-08-05,188,IND,118
2018-02-12,2552,PSP,193
2018-06-21,2668,IAH,78
2018-04-27,1582,CLE,149
2018-10-15,980,IAH,64
2018-05-08,1083,SFO,217
2018-10-31,2255,SNA,0
2018-04-29,1435,CLT,146
2018-09-28,2372,SAT,58
2018-04-15,2232,DSM,116
2018-04-03,2358,MSY,107
2018-01-22,2289,LAS,181
2018-04-16,2043,ORD,146
2018-06-01,2412,SAT,61
2018-05-25,2583,DTW,144
2018-08-22,385,STL,101
2018-03-23,2361,BWI,160
2018-03-12,1110,ATL,127
2018-02-22,2528,FLL,197
2018-03-24,2356,DEN,123
2018-04-15,1647,MCO,143
2018-04-14,2376,MSY,91
2018-10-08,679,SAN,192
2018-09-22,22,IAH,64
2018-03-01,411,SJC,242
2018-08-15,2430,TPA,146
2018-01-25,1492,AUS,52
2018-01-30,2477,GSP,135
2018-03-03,2306,DCA,177
2018-04-20,2552,SEA,249
2018-10-22,2363,BNA,96
2018-05-21,2778,SAN,227
2018-09-14,2240,SEA,250
2018-10-19,2644,ICT,74
2018-02-11,2386,IAH,75
2018-05-18,1568,MCI,92
2018-09-05,299,EWR,201
2018-10-22,1524,SNA,203
2018-06-07,2389,PNS,103
2018-10-01,1006,SLC,171
2018-07-13,2222,DCA,176
2018-01-09,2371,STL,96
2018-06-27,1449,GRR,136
2018-01-29,1300,MSY,90
2018-03-24,2677,SLC,194
2018-02-21,2552,PSP,181
2018-05-27,1112,LGA,188
2018-01-17,1093,SJU,265
2018-08-20,2363,BNA,114
2018-01-06,446,DEN,123
2018-09-19,1441,TUS,119
2018-08-08,1242,MCO,162
2018-02-25,2646,AUS,54
2018-03-22,1170,LGA,198
2018-10-20,84,LAX,175
2018-03-30,1485,SMF,235
2018-01-26,1373,JAX,126
2018-10-28,2224,PDX,239
2018-01-26,1063,RSW,142
2018-08-30,2463,ABQ,103
2018-06-22,1382,EWR,185
2018-02-14,2430,CMH,142
2018-03-08,2670,OMA,106
2018-07-24,2403,ATL,124
2018-05-19,374,SAV,139
2018-02-02,2625,OKC,53
2018-02-22,1403,PBI,205
2018-05-31,1520,DEN,127
2018-01-28,1221,AUS,66
2018-06-28,352,SJC,239
2018-10-25,1245,MSP,134
2018-05-07,306,IND,122
2018-07-21,1908,MIA,176
2018-02-08,296,BOS,195
2018-05-16,1268,SAT,65
2018-09-30,2406,MSP,136
2018-04-12,867,BOS,238
2018-03-31,1075,ELP,104
2018-03-23,409,CLT,135
2018-10-06,1472,ONT,195
2018-02-14,2337,SAN,200
2018-05-14,1198,TPA,145
2018-10-20,581,LAX,186
2018-06-11,2812,ORD,145
2018-01-01,2709,MTJ,134
2018-10-12,2734,OKC,52
2018-09-01,2587,ORF,168
2018-03-24,1081,SAN,188
2018-02-11,2356,DEN,141
2018-07-02,1085,LAX,189
2018-02-24,2231,EGE,130
